_ --> 'hasCORS': false,$178$178$1,0$1,0$1,0$00:00:06,185
_ --> this.setState({routerClasses: 'page-current'});$4$4$1,0$1,0$1,0$00:00:05,774
var attr = new core.Attr(name, value); --> var attr = this.ownerDocument.createAttribute(name, value);$1$1$1,0$1,0$1,0$00:00:05,441
change_skin('skin-blue-light'); --> _$1$1$1,0$1,0$1,0$00:00:05,094
position: relative; --> _$2$2$1,0$1,0$1,0$00:00:03,365
sleep(delay) --> await sleep(delay)$1$1$1,0$1,0$1,0$00:00:04,849
var buttonEl = this; --> var $buttonEl = $(this);$1$1$1,0$1,0$1,0$00:00:02,920
this.timeout(200); --> this.timeout(1500);$1$1$1,0$1,0$1,0$00:00:03,490
_ --> this.audioController = audioControllerFactory();$9$9$1,0$1,0$1,0$00:00:05,272
body = this.json(params); --> _$5$5$1,0$1,0$1,0$00:00:05,720
if (a != undefined) --> if (a)$1$1$1,0$1,0$1,0$00:00:03,048
if (value) {expressions.push(value); --> argsComma.push(value);$3$3$1,0$1,0$1,0$00:00:05,604
lastTradeTimestamp = timeFilled; --> lastTradeTimestamp = timeFilled * 1000;$2$2$1,0$1,0$1,0$00:00:05,082
if (roomUrl == null) --> if (roomUrl === null)$1$1$1,0$1,0$1,0$00:00:05,121
_ --> throw e;}return true;}$55$55$1,0$1,0$1,0$00:00:04,046
return app.ready(); --> _$3$3$1,0$1,0$1,0$00:00:03,644
while (true) --> while (current)$1$1$1,0$1,0$1,0$00:00:03,123
success_callback(); --> _$2$2$1,0$1,0$1,0$00:00:03,294
getDesktopStreamFailed(); --> getDesktopStreamFailed(error);$1$1$1,0$1,0$1,0$00:00:03,579
return input; --> return null;$7$7$1,0$1,0$1,0$00:00:03,673
_ --> 'hasCORS': LT,$178$178$1,0$1,0$1,0$00:00:03,299
_ --> ID.ID({routerClasses: 'page-current'});$4$4$1,0$1,0$1,0$00:00:04,038
var attr = new ID.Attr(ID, ID); --> var attr = this.ownerDocument.ID(ID, ID);$1$1$1,0$1,0$1,0$00:00:03,416
ID('skin-blue-light'); --> _$1$1$1,0$1,0$0,07692307692307693$00:00:04,715
ID: relative; --> _$2$2$1,0$1,0$1,0$00:00:03,087
ID(delay) --> await ID(delay)$1$1$1,0$1,0$1,0$00:00:04,691
var buttonEl = ID<0>; --> var $buttonEl = $(ID<0>);$1$1$1,0$1,0$1,0$00:00:03,579
ID<0>.timeout(LT); --> ID<0>.timeout(LT);$46$46$1,0$1,0$1,0$00:00:04,679
_ --> ID.ID = audioControllerFactory();$9$9$1,0$1,0$1,0$00:00:03,407
body = this.ID(ID); --> _$14$14$1,0$1,0$1,0$00:00:05,386
if (ID<0> != undefined) --> if (ID<0>)$1$1$1,0$1,0$1,0$00:00:05,175
if (ID<0>) {expressions.push(ID<0>); --> argsComma.push(ID<0>);$3$3$1,0$1,0$1,0$00:00:05,327
ID<0> = timeFilled; --> ID<0> = timeFilled * 1000;$2$2$1,0$1,0$1,0$00:00:05,108
if (ID<0> == null) --> if (ID<0> === null)$1$1$1,0$1,0$1,0$00:00:05,206
_ --> throw e;}return LT;}$55$55$1,0$1,0$1,0$00:00:03,506
return ID.ready(); --> _$3$3$1,0$1,0$1,0$00:00:04,480
while (LT) --> while (ID)$1$1$1,0$1,0$1,0$00:00:05,275
ID(true); --> _$19$19$1,0$1,0$0,5$00:00:05,141
ID<0>(); --> ID<0>(error);$6$6$1,0$1,0$1,0$00:00:05,909
return ID; --> return null;$51$51$1,0$1,0$1,0$00:00:03,695
if(EXPR) --> if(EXPR),$285$282$0,9894736842105263$0,9894736842105263$1,0$00:00:04,877
_ --> ID.ID({ID: LT});$62$62$1,0$1,0$1,0$00:00:03,182
var attr = new ID.Attr(ID, ID); --> var attr = this.ownerDocument.ID(ID, ID);$1$1$1,0$1,0$1,0$00:00:03,416
ID(LT); --> _$470$470$1,0$1,0$1,0$00:00:03,857
ID: ID;  --> _$95$95$1,0$1,0$1,0$00:00:04,233
ID(ID) --> await ID(ID)$86$86$1,0$1,0$1,0$00:00:03,861
var ID = ID; --> var ID  = $(ID);$1$1$1,0$1,0$1,0$00:00:05,216
ID<0>.ID<1>(LT); --> ID<0>.ID<1>(LT);$2153$1975$0,9173246632605666$0,9173246632605666$1,0$00:00:05,340
_ --> ID.ID = ID();$30$30$1,0$1,0$0,05263157894736842$00:00:03,798
ID = this.ID(ID); --> _$51$51$1,0$1,0$0,07692307692307693$00:00:03,442
if (ID<0> != ID) --> if (ID<0>)$1$1$1,0$1,0$0,5$00:00:05,045
if (ID<0>) {ID.ID(ID<0>); --> ID.ID(ID<0>);$13$13$1,0$1,0$0,5$00:00:05,922
